제품명,카테고리,유통기한_연,유통기한_월,유통기한_일,개봉여부,개봉일_연,개봉일_월,개봉일_일,제조연월,개봉 후 사용기한
피지오겔 AI 로션,로션,2023,7,31,N,,,,,12
애터미 BB크림,BB크림,2021,2,17,Y,2020,1,1,,12
포니 립틴트,립틴트,2021,7,20,Y,2019,12,1,,12
페리페라 립틴트,립틴트,2022,12,2,Y,2020,8,9,,12
랑콤 파운데이션,파운데이션,2022,10,30,N,,,,,12
비디비치 선크림,선크림,2021,7,4,Y,2020,1,1,,24
피지오겔 DMT로션,로션,2022,12,1,Y,2020,3,25,,12
지미추 향수,향수,2022,10,1,Y,2020,2,1,,36
일리윤 립밤,립밤,2020,10,16,Y,2020,4,1,,12
바세린 미러 립,,2021,7,21,Y,2019,10,30,,12
라네즈 크림스킨 샘플,토너,2023,9,14,N,,,,,
라네즈 세럼 샘플,세럼,2023,9,9,N,,,,,
라네즈 폼클렌저,폼클렌저,2023,11,4,N,,,,,
